Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$110K - $130K,"This job requires 3 days per week onsite in Washington, D.C.
You are a research scientist and engineer who wants to work in the areas of machine learning, natural language processing, information extraction, graphical models, summarization, information retrieval, recommend systems, and/or knowledge graphs. You will bring new ideas, evangelizing them, and shepherding their adoption within the team. You extract and identify relevant, meaningful, and actionable information from structured and unstructured data in real-time and provide advanced ways of accessing this data (such as search, summarization, and recommendations).
What you will do:
Proactively explore, research, describe, and analyze data.

Show More
Report",-1,"Bloomberg Industry Group
3.7","Washington, DC",-1,"Size
1001 to 5000 Employees",-1,"Founded
1929","Type
Company - Private","Industry
Publishing","Sector
Media & Communication"
"Cybersecurity Analyst Levels 1-7, Data Scientist",-1,"Job Information


Job Title: Cybersecurity Analyst Levels 1-7, Data Scientist
Salary Range: Level 1: $82,857 - $105,000
Level 2: $87,685 - $115,500
Level 3: $95,929 - $127,050
Level 4: $102,760 - $139,755
Level 5: $114,537 - $153,731









































Show More
Report",-1,"Metropolitan Transportation Authority
3.6",Manhattan,-1,-1,"Type
Government",-1,-1,-1,-1
"Data Scientist, RegLab",$103K - $152K (Glassdoor est.),"Data Scientist, RegLab
Job Code: 4745
Job Grade: I
The Regulation, Evaluation, and Governance Lab (RegLab) at Stanford University is looking for a Data Scientist to work across our research programs. This role will collaborate closely with teams of research fellows and students on projects related to machine learning and the public sector. We are looking for someone who is a self-learner, research-oriented, and excited by the mission of the Lab.
About us: Stanford RegLab is a social impact lab that partners with government and nonprofits to use machine learning and data science to modernize the public sector. We are an interdisciplinary team of lawyers, data scientists, social scientists, and engineers who are passionate about building high impact demonstration projects for the future of governance. Some of our partners include the EPA, IRS, DOL, and Santa Clara County Public Health.
Show More
Report",-1,"Stanford University
4.3","Stanford, CA",-1,"Size
10000+ Employees",,"Founded
1891","Type
College / University","Industry
Colleges & Universities","Sector
Education"
Data Science Engineer,Employer Provided Salary:$108K - $188K,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Our company
At Adobe, we’re changing the world. How? We give people the tools to bring their ideas to life and build content that makes life more fun and work more meaningful. We give businesses and organizations the power to truly engage their customers. We're the ones behind the gorgeously crafted content that streams across your laptop, TV, phone, and tablet every day. We are the ones who harness the massive power of endless data to help companies move from data to insight and insight to action. This has translated into more than 5x stock price appreciation in the last five years.
We’re a company that understands that product innovation comes from people innovation, and that’s why we invest in cultivating leaders throughout the organization. If you’re passionate about leading from where you sit, join us. The team
Adobe Digital Insights (ADI) produces public insights covered by news outlets worldwide, on topics from the global economy to photography trends. Every year, tens of thousands of articles and hours of news footage are dedicated to the work this team does. C-level leadership at large businesses around the world also rely on insights produced by ADI. Today, Adobe is at the forefront of enabling digital transformation and new experience-led business models. The challenge
ADI's unique data is a strategic asset for which there is ever increasing demand. As a Data Engineer, you'll architect and build a data environment and pipelines to suite our ever growing data appetite. This will require optimizing our current data flows and implementing new platform technologies and tools to better achieve our goals. We’re looking for someone who is comfortable working in a fast-paced environment, can adapt to shifting conditions and priorities, is meticulous and detailed, and is a self-starter. You will collaborate with data scientist and analyst on the team to define, synthesize and prioritize data requirements, and work with other engineering groups to assess the feasibility of potential approaches and you will build and implement those solutions. What you need to succeed
BS in Computer Science or related field
7+ years of engineering experience
Experience with modern data platforms (Hadoop, Hive, Sqoop, HDFS)
Experience with structured and unstructured databases (SQL, Mongo)
An advanced background with high-level scripting language (Python, R)
Familiarity with cloud environments (AWS, Azure, OpenStack)
Solid understanding of the latest information management tools and technologies.
Strong attention to detail and problem solving skills
Proven leadership and self-direction.
Desire to both guide others and learn new techniques.
High energy, personal drive, and positivity
At Adobe, you will be immersed in an extraordinary work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unusual Check-In approach where feedback flows freely.
If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.
Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status. Our company
At Adobe, we’re changing the world. How? We give people the tools to bring their ideas to life and build content that makes life more fun and work more meaningful. We give businesses and organizations the power to truly engage their customers. We're the ones behind the gorgeously crafted content that streams across your laptop, TV, phone, and tablet every day. We are the ones who harness the massive power of endless data to help companies move from data to insight and insight to action. This has translated into more than 5x stock price appreciation in the last five years.
We’re a company that understands that product innovation comes from people innovation, and that’s why we invest in cultivating leaders throughout the organization. If you’re passionate about leading from where you sit, join us. The team
Adobe Digital Insights (ADI) produces public insights covered by news outlets worldwide, on topics from the global economy to photography trends. Every year, tens of thousands of articles and hours of news footage are dedicated to the work this team does. C-level leadership at large businesses around the world also rely on insights produced by ADI. Today, Adobe is at the forefront of enabling digital transformation and new experience-led business models. The challenge
ADI's unique data is a strategic asset for which there is ever increasing demand. As a Data Engineer, you'll architect and build a data environment and pipelines to suite our ever growing data appetite. This will require optimizing our current data flows and implementing new platform technologies and tools to better achieve our goals. We’re looking for someone who is comfortable working in a fast-paced environment, can adapt to shifting conditions and priorities, is meticulous and detailed, and is a self-starter. You will collaborate with data scientist and analyst on the team to define, synthesize and prioritize data requirements, and work with other engineering groups to assess the feasibility of potential approaches and you will build and implement those solutions. What you need to succeed
BS in Computer Science or related field
7+ years of engineering experience
Experience with modern data platforms (Hadoop, Hive, Sqoop, HDFS)
Experience with structured and unstructured databases (SQL, Mongo)
An advanced background with high-level scripting language (Python, R)
Familiarity with cloud environments (AWS, Azure, OpenStack)
Solid understanding of the latest information management tools and technologies.
Strong attention to detail and problem solving skills
Proven leadership and self-direction.
Desire to both guide others and learn new techniques.
High energy, personal drive, and positivity
At Adobe, you will be immersed in an extraordinary work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unusual Check-In approach where feedback flows freely.
If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.
Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status.
Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $107,900 -- $188,300 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.
Show More
Report",-1,"Adobe
4.4","San Francisco, CA",-1,"Size
10000+ Employees",-1,"Founded
1982","Type
Company - Public","Industry
Computer Hardware Development","Sector
Information Technology"
Applied Machine Learning Scientist - Data Technologies,Employer Provided Salary:$160K - $250K,"Who we are:
The Bloomberg Engineering Data Technologies Department engineers systems and models that serve billions of data points to some of the World's most discerning customers each day. The Data Science team is a dynamic, collaborative and intellectually stimulating bunch, working together on interesting problems to bring impact to our customers and clients. We care deeply about building a diverse, inclusive organization, and hope that you can join us in this exciting work!

What we do:
At Bloomberg, our systems ingest hundreds of billions of market data ticks and millions of curated news stories for financial players to process and make investment decisions. Our company-wide machine learning efforts enhance our clients' ability to find the right pieces of information that are necessary to succeed in their jobs.

In our Data Science team, we are transforming the technology, the data and the insights that Bloomberg provides to our customers across the global financial sector, using data science and machine learning.


You will work alongside extraordinary talent to find innovative solutions to some of the most interesting problems in the Financial Industry (and beyond!) using data science and machine learning. In collaboration with colleagues in Engineering, the CTO office, the Data group and the Product organization, you will be working with complex datasets, developing prototypes to test analytical hypotheses and performing statistical quantitative analyses to drive business value for the company.


Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.

Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email amer_recruit@bloomberg.net.

Salary Range: 160,000 - 250,000 USD Annually + Benefits + Bonus

The referenced salary range is based on the Company's good faith belief at the time of posting. Actual compensation may vary based on factors such as geographic location, work experience, market conditions, education/training and skill level.

We offer one of the most comprehensive and generous benefits plans available and offer a range of total rewards that may include merit increases, incentive compensation [Exempt roles only], paid holidays, paid time off, medical, dental, vision, short and long term disability benefits, 401(k) +match, life insurance, and various wellness programs, among others. The Company does not provide benefits directly to contingent workers/contractors and interns.
Show More
Report",-1,"Bloomberg
4.1","New York, NY",-1,"Size
10000+ Employees",-1,"Founded
1981","Type
Company - Private","Industry
Computer Hardware Development","Sector
Information Technology"
Data Scientist,$74K - $119K (Glassdoor est.),"Data Scientist with Bachelor’s Degree in Computer Science, Computer Information Systems, Information Technology, or a combination of education and experience equating to the U.S. equivalent of a Bachelor’s degree in one of the aforementioned subjects.
Job Duties and Responsibilities:
Work with cross-functional teams in the organization to identify opportunities for leveraging company data to create and drive business solutions.
Develop scalable statistical, machine learning, or mathematical solutions for complex business problems.
Perform analytical studies on structured and unstructured data, use statistical techniques and hypothesis testing to validate findings, and generate actionable recommendations.







Show More
Report",-1,"Rite Pros
3.4","Portland, ME","Portland, ME","Size
1 to 50 Employees",,"Type
Company - Private","Industry
Information Technology Support Services","Sector
Information Technology","Revenue
Less than $1 million (USD)"
"Computational Research Scientist I or II, Physiological Data Modeling (Hybrid)",$55K - $82K (Glassdoor est.),"Overview:
Join the HJF Team!

The Henry M. Jackson Foundation for the Advancement of Military Medicine (HJF) is a nonprofit organization dedicated to advancing military medicine. We serve military, medical, academic and government clients by administering, managing and supporting preeminent scientific programs that benefit members of the armed forces and civilians alike. Since its founding in 1983, HJF has served as a vital link between the military medical community and its federal and private partners. HJF's support and administrative capabilities allow military medical researchers and clinicians to maintain their scientific focus and accomplish their research goals.

HJF is seeking a This position will be in support of Biotechnology High-Performance Computing Software Applications Institute (BHSAI). The mission of the BHSAI is to perform interdisciplinary research, combining physical, computational, and life-science research, to improve the efficiency and efficacy in the development of militarily relevant medical products for Force Health Protection.



Responsibilities:



Qualifications:






Show More
Report",-1,"The Henry M. Jackson Foundation for the Advancement of Military Medicine
3.7","Frederick, MD",-1,"Size
1001 to 5000 Employees",,"Founded
1983","Type
Nonprofit Organization","Industry
Research & Development","Sector
Management & Consulting"
Sr. Data Analyst,Employer Provided Salary:$115K - $140K,"At Energy Solutions we focus on the big impacts. And we believe that market-based programs can be a powerful force to deliver large-scale energy, carbon and water-use savings. For 28 years we’ve harnessed that power to offer proven, performance-based solutions for our utility, government, and institutional customers.
We are looking to fill a Senior Data Analyst position on our Operations team. Operations team members focus on the operational aspects of Energy Solutions' business, freeing consulting staff up to concentrate on clients and projects. Regular job duties include standardizing and automating business processes, communicating with and collecting information from staff, supporting the data analysis needs of consultant staff, and leading the growth and maturation of the data analysis team. Team members will also develop a deep understanding of the company’s business operations tools to support and provide training to consulting staff members. This position is an excellent opportunity for individuals interested in supporting the business operations of a growing, environmentally driven business with an established reputation and solid prospects for the future.



Show More
Report",-1,"Energy Solutions
4.2",Remote,-1,"Size
51 to 200 Employees",-1,"Founded
1995","Type
Company - Private","Industry
Energy & Utilities","Sector
Energy, Mining & Utilities"
"Data Scientist, Predictive Analytics",$91K - $128K (Glassdoor est.),"Description
Penn Medicine is dedicated to our tripartite mission of providing the highest level of care to patients, conducting innovative research, and educating future leaders in the field of medicine. Working for this leading academic medical center means collaboration with top clinical, technical and business professionals across all disciplines.

Today at Penn Medicine, someone will make a breakthrough. Someone will heal a heart, deliver hopeful news, and give comfort and reassurance. Our employees shape our future each day. Are you living your life's work?

Job Summary:



We believe that the best care for our patients starts with the best care for our employees. Our employee benefits programs help our employees get healthy and stay healthy. We offer a comprehensive compensation and benefits program that includes one of the finest prepaid tuition assistance programs in the region. Penn Medicine employees are actively engaged and committed to our mission. Together we will continue to make medical advances that help people live longer, healthier lives.

Live Your Life's Work
Show More
Report",-1,"Penn Medicine
3.8","Philadelphia, PA","Philadelphia, PA","Size
10000+ Employees",,"Founded
1993","Type
Hospital","Industry
Health Care Services & Hospitals","Sector
Healthcare"
Data Scientist II,$99K - $134K (Glassdoor est.),"Headquartered in Plano, TX, Cinemark Holdings, Inc. is a leader in the motion picture exhibition industry with 500+ theatres in the U.S. and Latin America.

Join Our Team!
Do you enjoy working together as a team to accomplish major goals? Join Cinemark to utilize and expand your skills! We are dedicated to making the movie experience memorable, “One Guest at a time.” Our world class talent creates a warm and friendly culture through shared values.

What is a Data Scientist?

A Data Scientist is part of the Consumer Intelligence & Analytics group which is the advanced analytics service arm for Cinemark. The Data Scientist is responsible for development and application of analytic methods for solving business problems and deriving consumer and business insight. The Data Scientist has an enterprise focus supporting the key business objectives and core business functions of the organization. The highest priority requirement of a Data Scientist is curiosity and personal drive to over-deliver on internal stakeholders’ needs for analysis and insight. The Data Scientist will have open access to all forms of enterprise data and scope of work covers basic to advanced numerical methods including modeling and simulation. Regression, classification, optimization and machine learning all potentially play a role in this function. This is truly an amazing opportunity to be on the ground floor of designing and building the decision sciences competency for a multi-billion dollar entertainment operation.








Show More
Report",-1,"Cinemark USA, Inc
3.6","Plano, TX",-1,"Size
10000+ Employees",,"Founded
1984","Type
Company - Public","Industry
Culture & Entertainment","Sector
Arts, Entertainment & Recreation"
