Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$50K - $80K,"Fintech Finance Group (fintechfinancegroup.com) has built a capable and proven team of high achievers and are looking for a talented Data Scientist to drive further growth and contribute to the success of our clients and our company. Without great employees, we cannot have great customers.
Qualifications
Intuition to look beyond the surface for insightful information using large data sets
Strong business acumen to discern the problems and potential challenges that need to be solved
Knowledge of machine learning, deep learning, statistical analysis, data visualization, data wrangling, software architecture, programming, libraries and frameworks
Analytical skills to interpret test results and performance metrics
Show More
Report",4.5,Fintech Finance Group,Remote,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$90K - $100K,"Position Summary:
The Data Scientist will use data analysis and visualization techniques to understand customer profiles, produce reports to track our business, build models to provide insight into the RYVYL customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down complex problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment. Cost and business analytics go hand-in-hand and so the Data Scientist will need to take complex digital issues and break them into meaningful data profiles, to assist the management’s data decisions.Essential Functions:
Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Develop SQL queries to retrieve and analyze data from our database


Show More
Report",4.5,ChargeSavvy,"San Diego, CA",-1,-1,-1,-1,-1,-1,-1
Hardware Data Scientist,Employer Provided Salary:$124.00 Per Hour,"Our client, a global financial services and digital payments company is seeking a Hardware Data Scientist.
This position is a remote 5-month contract. You must be in the US, no H1B Visa status. Hourly rate, W2 + paid holidays through Talent Table.
As a Hardware Data Scientist, you will:
Partner with product stakeholders to make data-driven decisions across the organization by leveraging descriptive and predictive analytics where it will have a material impact
Apply a diverse set of tactics including statistics, quantitative reasoning, and machine learning, to solve problems as well as independently research and produce actionable insights
Show More
Report",4.5,"21Tech, LLC
3.9",Remote,-1,"Size
1 to 50 Employees",-1,"Type
Company - Private","Revenue
Less than $1 million (USD)",-1,-1
Data Scientist,Employer Provided Salary:$140K - $190K,"About Cleerly
We're Cleerly – a healthcare company based in Denver, Colorado and New York, New York that's revolutionizing how heart disease is diagnosed, treated, and tracked. We were founded in 2017 by one of the world's leading cardiologists and are a growing team of world-class engineering, operations, medical affairs, marketing, and sales leaders. We raised $223M in Series C funding in 2022 which will enable rapid growth and continued support of our mission.
Cleerly is creating a new standard of care for heart disease through value-based, AI-driven precision diagnostic solutions with the goal of helping prevent heart attacks. Our technology goes beyond traditional measures of heart disease by enabling comprehensive quantification and characterization of atherosclerosis, or plaque buildup, in each of the heart arteries. Cleerly's solutions are supported by more than a decade of performing some of the world's largest clinical trials to identify important findings beyond symptoms that increase a person's risk of heart attacks.



Show More
Report",4.5,"Cleerly, Inc.","Denver, CO",-1,"Size
51 to 200 Employees",-1,"Founded
2016","Type
Company - Private","Industry
Health Care Services & Hospitals","Sector
Healthcare"
Data Scientist,Employer Provided Salary:$150K - $199K,"Job Description:
Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures. Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams. Has the ability to make discoveries in the world of big data. Requires strong technical and computational skills – engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques and utilizing high-performance computing environments. Has the ability to utilize advance tools and computational skills to interpret, connect, predict and make discoveries in complex data and deliver recommendations for business and analytic decisions. Experience with software development, either an open-source enterprise software development stack (Java/Linux/Ruby/Python) or a Windows development stack (.NET, C#, C++). Experience with data transport and transformation APIs and technologies such as JSON, XML, XSLT, JDBC, SOAP and REST. Experience with Cloud-based data analysis tools including Hadoop and Mahout, Acumulo, Hive, Impala, Pig, and similar. Experience with visual analytic tools like Microsoft Pivot, Palantir, or Visual Analytics. Experience with open source textual processing such as Lucene, Sphinx, Nutch or Solr. Experience with entity extraction and conceptual search technologies such as LSI, LDA, etc. Experience with machine learning, algorithm analysis, and data clustering. Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures. Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams. Has the ability to make discoveries in the world of big data.
Show More
Report",4.5,"Government Tactical Solutions
4.2","Linthicum Heights, MD",-1,"Size
51 to 200 Employees",-1,"Founded
2011","Type
Company - Private","Industry
National Agencies","Sector
Government & Public Administration"
Data Scientist (Remote),-1,"Analytica is seeking a Data Scientist to support one or more dynamic, long-term federal government data science programs. The company works as a trusted advisor to U.S. federal government clients in health, civilian, and national security missions. The ideal candidate will be comfortable as a key member of a multi-disciplinary team working in an Agile environment to produce advanced analytics solutions.

Analytica has been recognized by Inc. Magazine as one of the 250 fastest-growing US small businesses for three consecutive years. We work with U.S. government clients to build data-driven products and cultures that make an impact on our daily lives. Analytica offers competitive compensation with opportunities for bonuses, employer-paid health care, unlimited training funds, and a 401k match.

Requirements:


: Analytica is a leading consulting and information technology solutions provider to public sector organizations supporting health, civilian, and national security missions. Founded in 2009 and headquartered in Bethesda, MD, the company is an established 8(a) small business that has been recognized by each of the past three years as one of the 250 fastest-growing companies in the U.S. Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management consulting services. The Software Engineering Institute (SEI) appraises the company at CMMI® Maturity Level 3 and is an ISO 9001:2008 certified provider.

As a federal contractor, Analytica is required to verify that all employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.
Show More
Report",4.5,"Analytica
3.4",Remote,-1,-1,"Founded
2009",-1,-1,-1,-1
Analyst - Junior Data Scientist,Employer Provided Salary:$85K - $90K,"About YES
YES Communities, founded in 2008, owns and operates manufactured housing communities with locations across the United States. YES takes a new approach to manufactured home communities and works to build and maintain an environment in each community that reflects their positive YES attitude. YES’s unique operating model, personal approach and strong corporate culture has garnered it the Community Operator of the Year award by the Manufactured Housing Institute for the past ten years.

Our company’s leadership team has over 100 years of combined experience in the manufactured housing industry. This dedication has brought industry acknowledgement to not only our executive team, but also to every endeavor they have touched throughout the past four decades.

Life at YES
YES Communities strives to hire a diverse workforce that shares our vision of what a manufactured home community should be. We empower our employees to develop a strong sense of community with our residents because we know that happy, dedicated employees make the difference.

Our culture is relaxed and one where leaders set clear expectations and give you the freedom to manage your goals. We invest in our employees and take pride as we watch them achieve results and make a difference in their roles every day.


You will be joining the YES Data Science Team. A group of smart, talented people in a culture that is simultaneously driven, entrepreneurial, and collaborative. We set high expectations for team members in the areas of delivering quality results, building trusted relationships, and aspiring for continuous improvement.





Bachelor’s degree in Economics, Finance, Accounting, Math or other applicable quantitative or technical field

$85,000 to $90,000 Annually, plus quarterly bonus

The YES Difference
Competitive salary | Comprehensive health benefits | Life, long and short-term disability insurance | 401(k) with company match

YES I can help * YES We are a team * YES We add value * YES We build community
YES Communities is an Equal Opportunity Employer
Show More
Report",4.5,"YES Communities
3.8","Greenwood Village, CO",-1,"Size
1001 to 5000 Employees",-1,"Founded
2008","Type
Company - Private","Industry
Real Estate","Sector
Real Estate"
Data Scientist (Remote),$74K - $114K (Glassdoor est.),"Role: Data Science Analyst
Location: Remote
Type: Full-Time
Clearance: Ability to obtain Public Trust Clearance
Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the characteristics of a data set and identify potential issues.
Demonstrated experience of efficient manipulation and wrangling of large datasets
Hands on experience and expertise with SQL, Python or PySpark (preferred), or R
Comfortable dealing with ambiguity, making assumptions, drawing conclusions and distilling complex analysis for non-technical audiences.
Strong data visualization skills (Tableau preferred)
Show More
Report",4.5,"Improvix Technologies
4.6","Reston, VA","Reston, VA","Size
51 to 200 Employees",,"Founded
2012","Type
Company - Public","Industry
Information Technology Support Services","Sector
Information Technology"
Data Scientist,Employer Provided Salary:$69K - $108K,"The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives. As a global leader in public health, CDC is the nation’s premier health promotion, prevention, and preparedness agency. Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic and international partners, we rely on our employees to make a real difference in the health and well-being of our people here and around the world.
The National Institute for Occupational Safety and Health (NIOSH) is part of the U.S. Centers for Disease Control and Prevention, in the U.S. Department of Health and Human Services. It has the mandate to assure “every man and woman in the Nation safe and healthful working conditions and to preserve our human resources.” NIOSH has more than 1,300 employees from a diverse set of fields including epidemiology, medicine, nursing, industrial hygiene, safety, psychology, chemistry, statistics, economics, and many branches of engineering.

Show More
Report",4.5,Centers for Disease Control and Prevention,"Morgantown, WV",-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$60.00 - $75.00 Per Hour,"Role: Data Scientist
Location: 100% remote, have to work EST hours
1+ years opportunity
Academic background in a relevant quantitative field, e.g. statistics, mathematics, engineering, computer science, with an advanced degree (PhD / MSc) in one of these disciplines preferred.
Proven record of delivering business impact in customer behaviour analytics e.g. Journey analysis with clickstream data, A/B testing etc
Have at least 2 years of experience in Google Cloud platform, specifically BigQuery,& LookML
Show More
Report",4.5,"Largeton Inc
3.5",Remote,-1,"Size
Unknown",-1,"Type
Company - Private","Industry
Information Technology Support Services","Sector
Information Technology","Revenue
Unknown / Non-Applicable"
