Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Marketing Intelligence",Employer Provided Salary:$130K - $190K,"We’re at the forefront of the data revolution, committed to building the world’s greatest data and applications platform. Our ‘get it done’ culture allows everyone at Snowflake to have an equal opportunity to innovate on new ideas, create work with a lasting impact, and excel in a culture of collaboration.
The Marketing Intelligence team has the vision to predict real time ROI to dynamically optimize our marketing programs and ultimately disrupt the aged B2B marketing analytics practices. Our mission is to build scalable solutions and models to enable Snowflake marketing to become the industry’s most insights-driven team. We are looking for talented candidates who can push the boundaries of our existing models and help us to design new state-of-the-art solutions to marketing data science problems that we can share with customers and partners. If you are passionate about using data science to solve real world problems and looking for a role that values your creativity and insights, we have a unique opportunity for you.
Show More
Report",4.8,"Snowflake
4.3","San Mateo, CA",-1,"Size
1001 to 5000 Employees",-1,"Founded
2012","Type
Company - Public","Industry
Enterprise Software & Network Solutions","Sector
Information Technology"
Data science Developer,Employer Provided Salary:$68.00 - $78.00 Per Hour,"Job Title: Data Science Developer
Onsite, 5 days a week
Join a software development team working in an Agile framework. Developing python-based large-scale optimization models and integrating them with automated data sets and user interfaces. Will need to be able to estimate effort to deliver features that meet Customer acceptance criteria. Work with Product Owners and Business Stakeholders to translate Customer needs into application features. Provide technical and operational support for applications built. Collaborate with data scientists, data engineers, and other developers in the organization.
Requirements:
- 3-5 years' experience
- Experience with: Machine learning AI, mathematical optimization linear/nonlinear integer programming, developer in python
- Analytical abilities
- Experience working on analytical projects


Show More
Report",4.8,"Ericsson
4.0","Houston, TX",-1,"Size
10000+ Employees",-1,"Founded
1876","Type
Company - Public","Industry
Telecommunications Services","Sector
Telecommunications"
Data Scientist,$88K - $128K (Glassdoor est.),"Enova's hybrid work model allows employees to work in the office T, W, and TH with the option to work from home on Monday and Friday.
About the role:
As a Data Scientist, you will be one of Enova's most valuable team members. You will develop, enhance and test our models for use in determining the appropriate lending criteria and verification procedures. At times, you may be asked to conduct ad hoc analysis using statistical and financial tools to recommend for risk management, marketing and operational strategies. You will demonstrate the ability to interpret and organize data, and communicate it effectively to cross functional teams to solve business problems, provide requirements and support implementation.
We're excited about you if you have:

Show More
Report",4.8,"Enova International
3.9","Chicago, IL","Chicago, IL","Size
1001 to 5000 Employees",,"Founded
2003","Type
Company - Public","Industry
Banking & Lending","Sector
Financial Services"
Data Scientist/Engineer,Employer Provided Salary:$70K - $160K,"We are hiring at Sequoia Research Corporation! We are a small aerospace engineering company in the Los Angeles, South Bay Area, that has been in business for over 50 years. The problems we solve address important challenges in vehicle navigation and aircraft safety as well as fundamental space weather research. We take pride in the difficulty of the problems assigned to us by our customers, as they are often challenging to frame, let alone solve. In the past, we have designed and prototyped automated algorithmic analysis and integrity monitoring for the Wide Area Augmentation System (WAAS), constructed the integrity architecture for a Ground Based Augmentation System (GBAS) and written papers on ionospheric threats and the modelling thereof.
We are particularly looking for someone with strong MatLab skills, as this will be about 50% of the job.
We are actively recruiting engineers with an interest in applying math and physics in a computational setting. We use Python, MatLab, C/C++, and some FORTRAN to develop algorithms, perform simulations, and analyze interesting data sets. The candidate should have strong analytical skills, be able to program, and must be a US citizen. We have found that people with an educational background in physics, chemistry, mathematics or engineering enjoy and thrive on our work. Our problems are uniquely challenging and require a diverse skillset. We are looking for all levels of education: Masters, Ph.D., as well as people with years of experience in their respective fields (with Bachelors).
Show More
Report",4.8,Sequoia Research Corporation,"Torrance, CA",-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$121K - $146K,"Location: Remote

About SKF:
SKF has been making the world spin since 1907!
SKF is an industry-leading manufacturer that's dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth.
As an SKF team member, you’ll join 40,000 colleagues from more than 130 countries developing bearing technology and services that make rotation more reliable and sustainable. Sustainability is at the heart of everything we do. SKF aims to have greenhouse gas emissions at all our production facilities by
































Show More
Report",4.8,"SKF
3.9","Lansdale, PA",-1,"Size
1001 to 5000 Employees",-1,"Founded
1907","Type
Subsidiary or Business Segment","Industry
Machinery Manufacturing","Sector
Manufacturing"
Machine Learning Scientist (Computer Vision),-1,"We are hiring at all levels of our AI team to support and lead our growth, including ML Scientists and Senior and Principal ML Scientists. These roles are commensurate with experience and will be evaluated on an individual basis.
ML Scientists at Wadhwani AI build scientifically rigorous and robustly evaluated AI solutions that will be deployed in order to bring AI to the benefit of underserved billions across the developing world.

ABOUT US
Wadhwani AI is a non-profit applied AI institute that brings artificial intelligence technologies to address social challenges in low and middle-income countries. Through our solutions, AI becomes an enabling technology that bridges the gap between problems and solutions, augments human capabilities and provides advanced decision support. We collaborate with social sector organisations, the government, domain experts and academic institutions to identify real-world challenges, create and deploy innovative AI solutions to reach intended users and beneficiaries – with the objective of creating sustainable, scalable impact.
Currently, we are building AI-based solutions in the agriculture and health domains, such as pest management, maternal, newborn and child health, and tuberculosis; and are looking to expand to other domains such as education and climate change soon.
Our projects are supported by leading philanthropies such as Bill & Melinda Gates Foundation (BMGF), United States Agency for International Development (USAID), Children’s Investment Fund Foundation (CIFF), Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), and Google.org.


Show More
Report",4.8,"Wadhwani AI
3.5",Remote,Remote,-1,"Type
Company - Private",-1,-1,-1,-1
Data Scientist,$86K - $123K (Glassdoor est.),"The Data Science Lead Analyst is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their application in own job and the business. Recognized technical authority for an area within the business. Requires basic commercial awareness. There are typically multiple people within the business that provide the same level of subject matter expertise. Developed communication and diplomacy skills are required in order to guide, influence and convince others, in particular colleagues in other areas and occasional external customers. Significant impact on the area through complex deliverables. Provides advice and counsel related to the technology or operations of the business. Work impacts an entire area, which eventually affects the overall performance and effectiveness of the sub-function/job family.

Responsibilities:



Technology
Data Science
Full time
Irving Texas United States
$121,560.00 - $182,340.00
Show More
Report",4.8,"Citi
3.9","Irving, TX",-1,"Size
10000+ Employees",,"Founded
1812","Type
Company - Public","Industry
Investment & Asset Management","Sector
Financial Services"
Staff Data Scientist,$133K - $187K (Glassdoor est.),"ClassDojo's mission is to give every child on Earth an education they love.
We started by building a network that connects teachers, children, and families. ClassDojo's flagship app is the #1 communication app connecting K-8 teachers, children, and families, globally. They use it to share what's happening throughout the day through photos, videos, messages, and activities. It is actively used at an unprecedented scale: in over 95% of US schools, reaching ~51 million children in ~180 countries. We are now beginning to use this network to give kids the best learning experiences in the world, far beyond those a standard school can provide.
We hire for talent density. Our team comprises the most talented, entrepreneurial, and innovative teammates from around the world, with deep backgrounds in education and large scale consumer internet, including Instagram, Netflix, Dropbox, Uber, Y Combinator, and more. We're building a company where the most talented people want to work. We believe you'll do the best work of your life here&mdash;and you'll pioneer the future of education, too.









Show More
Report",4.8,"ClassDojo
4.6","San Francisco, CA","San Francisco, CA","Size
51 to 200 Employees",,"Founded
2011","Type
Company - Private","Industry
Internet & Web Services","Sector
Information Technology"
Sr. Data Scientist,$104K - $156K (Glassdoor est.),"Job Summary
The Sr. Data Scientist will be based in Fremont, CA. In this role you will report to the Director of Product Management. The selected candidate will assist with
formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interests.
Watch
this video
to learn why Nextracker is more than just a place to work.
Here is a glimpse of what you’ll do…
Selecting and employing advanced statistical procedures to obtain actionable insights.
Cross-validating models to ensure their generalizability;
Collating and cleaning data from various sources for later use by other engineers and data scientists.
Pay Range (Applicable to California)
$151,100.00 USD - $207,700.00 USD
Design, Process & Technology Engineering
No
Show More
Report",4.8,"Flex
3.9","Fremont, CA",-1,"Size
10000+ Employees",,"Founded
1969","Type
Company - Public","Industry
Electronics Manufacturing","Sector
Manufacturing"
-1,Employer Provided Salary:$109K - $170K,-1,4.8,-1,-1,-1,"Size
10000+ Employees",-1,"Founded
1799","Type
Company - Public","Industry
Banking & Lending","Sector
Financial Services"
Data Scientist/Machine Learning Software Engineer,Employer Provided Salary:$90K,"About us
Nearly Human AI is a cutting edge technology company that specializes in cloud based machine learning and AI automation. We are currently developing algorithms that will revolutionize how our clients approach their business models in clean energy, social services, law enforcement and national defense.
PLEASE NOTE: This position requires a US Government clearance. You do not have to currently hold a security clearance, but you MUST be a US Citizen, have a background free of any felonies and be willing to submit to the clearance process. H-1B or Green Card holders are not eligible for this position. If you have recent education or work history abroad on your resume, please indicate in your application that you are a US citizen to avoid having your application rejected.
Seeking a motivated, skilled data scientist to join a fast-paced team set to disrupt the AI market. Nearly Human is a startup brand that recently secured funding to launch a revolutionary virtual employee system. We will move the industry from annoying bots that are merely glorified FAQ sheets, to Nearly Human virtual employees that can automatically detect issues and opportunities as they arise. We provide intelligent, conversational assistance with complex problems and seamlessly assist human employees.
Show More
Report",4.8,Nearly Human AI,"Harrisburg, PA",-1,-1,-1,-1,-1,-1,-1
Research Data Scientist,Employer Provided Salary:$95K - $115K,"Career Title: Research Data Scientist
Department: Institute for Credentialing Research and Quality Management (ANCC)
Salary Hiring Range: $95,000-$115,000 annually (paid bi-weekly)
Union Dues: 1.44% of your bi-weekly pay
NOTE: Competitive salary commensurate with experience
Career Summary:
The Research Data Scientist (RESDATASCI) is responsible for developing and maintaining a robust repository of evidence that supports and validates the ANCC credentialing programs and the ANA programmatic work, monitoring the credentialing and nursing research developments, composing summary and analytic reports, and overseeing research studies that support the ANA Enterprise programs to include but not limited to studies funded, supported, or commissioned by the American Nurses Association, American Nurses Credentialing Center, and/or the Foundation. The RESDATASCI collaborates with internal and external stakeholders to understand ANAE research priorities, identify potential grant opportunities, develop and launch calls for proposals, monitor study progression, ensure all reporting requirements are met, develop dissemination strategies, and communicate study results to internal and external stakeholders.

Show More
Report",4.8,American Nurses Association Enterprise,"Silver Spring, MD",-1,-1,-1,-1,-1,-1,-1
"Data Scientist, Bioinformatics",-1,"About NewLimit
NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.
Position
NewLimit is seeing an outstanding data scientist to join our Predictive Modeling or Single Cell Genomics teams. Data-driven predictive modeling is one of the key enabling technologies of our research program, allowing us to predict the outcome and prioritize the next round of experiments to guide the design of our therapies.
Show More
Report",4.8,NewLimit,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
Data Science Co-op (Summer 2023 Semester - May Start),$35K - $57K (Glassdoor est.),"What to Expect in our Co-op Program:
Expand your technical and professional skills in a real-world setting. Emerson co-ops are given meaningful work, support, and mentorship from experienced managers and key business leaders. There is the potential to gain knowledge and experience in a variety of ways by exploring opportunities associated with your major and rotating through multiple departments.
What We Offer:
Competitive compensation, flexible dress code policy, and paid holidays
Housing stipends for eligible students and a list of nearby housing options for relocation
Access to our newly renovated fitness center and wellness program
Opportunities for networking and professional development










Show More
Report",4.8,"Emerson
3.9","Elyria, OH",-1,"Size
10000+ Employees",,"Founded
1890","Type
Company - Public","Industry
Electronics Manufacturing","Sector
Manufacturing"
Data Scientist/Researcher and Modeler I/II/Associate,Employer Provided Salary:$67K - $133K,"Description
The Transportation Analysis and Modeling group has two types of roles available that support model development and model application.
Model Development team members maintain and improve a suite of models including the Activity Based Model (ABM), Rapid Strategic Model (RSM), Commercial Vehicle Model (CVM), Cross border Model (CBM), and other special market models. Key focus areas include the addition of new features related to emerging technologies, transformative transportation modes, and shared mobility. The Model Development team also supports the Model Application team’s production modeling and analysis efforts.
Model Application team members apply the ABM in support of agency priority projects and initiatives including the regional plan, corridor studies, capital improvement projects, member agency development projects and climate action planning efforts. The Application team manages the master transportation network, performs model runs, interprets and analyzes results, and communicates model outputs through a wide range of data and visualization and presentation formats. Key focus areas for these positions include border port of entry planning for the State Route 11/ Otay Mesa East project and Comprehensive Multimodal Corridor Plans.


Show More
Report",4.8,"San Diego Association of Governments
3.4","San Diego, CA",-1,"Size
201 to 500 Employees",-1,"Founded
1972","Type
Government","Industry
National Agencies","Sector
Government & Public Administration"
"Data Scientist, Fraud Risk Decision Science",-1,"Global Risk Decision Analytics and Capabilities is a key team in the Risk & Compliance organization that ensures our products and processes deliver robust fraud and credit decisions while providing a great customer experience and supporting company growth. We are a team of data and analytics-driven experts with an outstanding ability and sense of mission to find solutions through innovation and collaboration.

We are looking for a Data Scientist in the Fraud Risk team who will be responsible for developing and managing the Fraud decision science models and business logic, leading to best- in-class Fraud loss metrics and customer experience. The successful candidate should have prior data science and/or analytics experience in Fraud Risk management. The successful candidate will be collaborative and a strong communicator with high EQ to work in a matrixed organization. This position will report to the Director of Fraud Risk.























Show More
Report",4.8,"PaymentGenes
4.1",Remote,-1,-1,"Founded
2014",-1,-1,-1,-1
