Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$81K - $121K (Glassdoor est.),"Position Description:
This role will provide subject matter expertise to perform data analytics and visualization of IT services health. Develop Enterprise Performance Management strategy, and more.
Job Responsibilities:
Function as a technical expert across multiple network domains and portfolios. Develop, deliver, and update working level, project, and senior leadership briefs. Write whitepapers to articulate data strategy. Brief Senior Leadership on data analytics and visualization.
Required Qualifications:
Bachelor's degree or equivalent combination of education, training, and experience.
Show More
Report",3.1,"Louisiana Technology Group Inc
5.0","Chesapeake, VA","Chesapeake, VA","Size
1 to 50 Employees",,"Founded
1999","Type
Company - Private","Revenue
$5 to $25 million (USD)",-1
Data Scientist,$73K - $106K (Glassdoor est.),"Overview:
VTG is looking for a Data Scientist in Fort Meade, MD.
Responsibilities:
Collaborate with subject matters experts (SMEs) to understand source data
Incorporate SME input into feature vectors suitable for analytic development and testing
Translate customer inputs to be developed into enterprise facing software visualizations
Oversee the development of individual analytic efforts and guide team in analytic development process
Partner with software engineers and cloud developers to develop production analytics
Qualifications:
Show More
Report",3.1,"NextRev Tech
3.5","Fort Meade, MD","Fort Meade, MD","Size
1001 to 5000 Employees",,"Founded
1966","Type
Company - Private","Industry
Aerospace & Defense","Sector
Aerospace & Defense"
Data Scientist II - image analysis,$83K - $118K (Glassdoor est.),"About the Department
The AI and Analytics Team is part of Novo Nordisk’s Data Science division, where we apply sophisticated algorithms and machine learning techniques to some of the hardest problems in the discovery and development of new healthcare solutions. By leveraging a blend of scientific, problem-solving, and quantitative skills, we provide superior data insights that empower Novo Nordisk to further develop and deliver life-changing treatments. We work in multidisciplinary teams with strong collaboration across all areas of the organization and engage in external collaborations to ensure access to cutting edge research and technology.
We believe in the value of a diverse and inclusive culture. Together, we build and grow talent to ensure the development of new solutions. The team is comprised of collaborative, diverse and passionate people who have a true sense of pride in their work. We are committed to helping each other grow, and we are driven by the opportunity to make a difference in the lives of people living with chronic disease. Everything we do starts and ends with the patient. And, while changing the future of chronic disease treatment, such as diabetes and obesity, is no easy task, we also recognize the importance of an enjoyable workplace, which is why we’ve cultivated a culture of fun, ingenuity, and innovation. Our competitive compensation package and support of a healthy work-life balance all add to a best-in-class employee experience.












Show More
Report",3.1,"Novo Nordisk
4.3","Lexington, MA","Lexington, MA","Size
10000+ Employees",,"Founded
1923","Type
Company - Public","Industry
Biotech & Pharmaceuticals","Sector
Pharmaceutical & Biotechnology"
Machine Learning Engineer,Employer Provided Salary:$100K,"Job Title : AI Engineer / Architect with Experience in Edtech or Gaming Industry
Job Type : Contract to hire
Job Location : Remote
AI Engineer / Architect role is part of Service Excellence Automation team. The individual should lead and do the solution architecture and engineering support for solutions in the field of Artificial Intelligence & Machine Learning, Text Analytics and enterprise integrations.
Your key responsibilities
Hands-on experience in building NLP, Machine Learning (Deep Learning), Statistical Learning & Deep Learning models with python programming.
Show More
Report",3.1,"Stemuli Studios Inc.
4.0",Remote,-1,"Size
1 to 50 Employees",-1,"Type
Company - Private","Industry
Business Consulting","Sector
Management & Consulting","Revenue
Less than $1 million (USD)"
"Senior Analyst, Data Scientist",$106K - $156K (Glassdoor est.),"Come join Analog Devices (ADI) – a place where Innovation meets Impact. For more than 55 years, Analog Devices has been inventing new breakthrough technologies that transform lives. At ADI you will work alongside the brightest minds to collaborate on solving complex problems that matter from autonomous vehicles, drones and factories to augmented reality and remote healthcare.
ADI fosters a culture that focuses on employees through beneficial programs, aligned goals, continuous learning opportunities, and practices that create a more sustainable future.
ADI At A Glance
Analog Devices operates at the center of the modern digital economy, converting real-world phenomena into actionable insight with its comprehensive suite of analog and mixed signal, power management, radio frequency (RF), and digital and sensor technologies. ADI serves 125,000 customers worldwide with more than 75,000 products in the industrial, communications, automotive, and consumer markets. ADI is headquartered in Wilmington, MA. Visit
.


Job Req Type: Graduate Job
Required Travel: Yes, 10% of the time
The wage range for a new hire into this position is $111,320 to $153,065.
Show More
Report",3.1,"Analog Devices
4.1","San Jose, CA",-1,"Size
10000+ Employees",,"Founded
1965","Type
Company - Public","Industry
Electronics Manufacturing","Sector
Manufacturing"
Data Scientist,Employer Provided Salary:$85K - $158K,"Duties
Supports the implementation and maintenance of business intelligence and analysis solutions by identifying and gathering data needed; processing and transforming data into needed formats; developing processes for analysis; applying various tools and techniques to produce findings and insights from structured and unstructured data; and communicating the data and analytic results across the organization.
Uses analytic tools to combine, analyze, and interpret complex datasets of varying sizes to perform exploratory analyses and develop data-informed organizational solutions.
Performs optimal and appropriate analysis on large and very large data sets. Prepares reports on in-depth data analyses using statistics and data visualization skills.
Analyzes and explores a variety of large data sources to provide data-informed insights and actionable recommendations. Conducts statistical analysis to make appropriately rigorous and informed projections, data-informed decisions, and recommendations based on findings. Advises on the potential benefits and uses of automation to improve the efficiency of analytical operations in the agency.

























Show More
Report",3.1,US Employment and Training Administration,"Albuquerque, NM",-1,"Size
1001 to 5000 Employees",-1,"Founded
1935","Type
Government","Industry
National Agencies","Sector
Government & Public Administration"
Data Scientist. Team Lead.,-1,"Job Category: Technical
Job Type: Full Time
Job Location: Remote
Team: AI
About Kyla
Kyla helps you live longer. First, Kyla collects your medical history, blood sample, and DNA. Then, Kyla AI analyzes your medical data to identify your top health risks, estimate your remaining lifetime, and give you simple, doctor-validated daily goals to increase your life expectancy. Finally, Kyla monitors your progress 24×7, diagnoses, and treats your conditions with the help of doctors.
Join our Kyla.com team of medical providers, product leaders, engineers, and AI scientists to grant people the power to understand their health from a new perspective in order to improve their life expectancy. Our ActionUrgentCare.com medical infrastructure consists of 14 Medical Clinics and a High Complexity Laboratory in California, USA, and has been in business for 10+ years. We’re working with Fortune 500 companies, schools, and individuals by the thousands and are rapidly growing.


















Show More
Report",3.1,"Kyla
4.3",Remote,Remote,-1,"Type
Company - Private",-1,-1,-1,-1
Senior Staff Data Scientist-Remote,Employer Provided Salary:$166K - $228K,"Do you want to join us in helping to fight the world’s most threatening diseases and enabling access to care for more people around the world? At Siemens Healthineers, we pioneer breakthroughs in healthcare. For everyone. Everywhere.
We offer you a flexible and dynamic environment with opportunities to go beyond your comfort zone in order to grow personally and professionally. Sound interesting? Then come and join our global team as a Senior Staff Data Scientist.
Our global team: We are a team of 6000 highly dedicated employees across more than 70 countries passionately pushing the boundaries of what’s possible in healthcare to help improve people’s lives around the world. As a leader in the industry, we aspire to create better outcomes and experiences for patients no matter where they live or what health issues they are facing. Our portfolio, spanning from invitro and invivo diagnostics to image-guided therapy and innovative cancer care, is crucial for clinical decision making and treatment pathways.
















Show More
Report",3.1,"Siemens Healthineers
4.1","Tarrytown, NY",-1,"Size
10000+ Employees",-1,"Founded
1847","Type
Company - Public","Industry
Biotechnology","Sector
Pharmaceutical & Biotechnology"
Assoc. Data Scientist,Employer Provided Salary:$64K - $82K,"Are you mission-driven and passionate about helping others succeed?
Do you strive to lead, follow, and act with integrity?
Are you the one who honors your commitments?
Is building trusting relationships an integral part of why you do what you do?
Do you push limits and challenge the status quo?
If you answered YES, keep reading to find out how you can contribute to the success of Team USA!
Here's a summary of responsibilities:
Show More
Report",3.1,"US Olympic & Paralympic Committee
2.3","Colorado Springs, CO",-1,"Size
201 to 500 Employees",-1,"Founded
1894","Type
Nonprofit Organization","Industry
Sports & Recreation","Sector
Arts, Entertainment & Recreation"
Associate Data Scientist,$72K - $104K (Glassdoor est.),"GENERAL SUMMARY OF POSITION:
The Data Scientist is responsible for modeling complex clinical and research problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques. In addition to advanced analytic skills, this role is also proficient at integrating and preparing large varied datasets, designing specialized database and computing environments, and presenting results. Data Scientists work closely with clients, project/program managers, and other IT teams to turn data into actionable information and knowledge that can be used to make sound organizational decisions. Core traits include creative thinking, innovative proposals, and expert data mining techniques. They will need to validate their findings using an experimental and iterative approach. In addition, he/she will perform diverse and complex duties in a manner consistent with a dynamic and active biomedical education and research community.
Show More
Report",3.1,"UMASS Medical
3.8","Worcester, MA","Worcester, MA","Size
5001 to 10000 Employees",,"Founded
1962","Type
College / University","Industry
Colleges & Universities","Sector
Education"
