Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Associate Data Scientist, Operations Decision Science",-1,"United States, Georgia, Atlanta
Ops Control
25-Oct-2022
Ref #: 17979

Show More
Report",4.1,"Delta
4.3","Atlanta, GA",-1,"Size
10000+ Employees",-1,"Founded
1928","Type
Company - Public","Industry
Airlines, Airports & Air Transportation","Sector
Transportation & Logistics"
Data Scientist/Data Engineer,-1,"Role: Data Engineer/ Data Scientist
Client:- DTIC
Location:- Fort Belvoir, VA (REMOTE)
Duration: Long Tern
Clearance: Active secret or TS
Required:-
Data Science
Show More
Report",4.1,"Business Integra Inc
3.7","Fort Belvoir, VA",-1,"Size
201 to 500 Employees",-1,"Founded
2001","Type
Company - Private","Industry
Information Technology Support Services","Sector
Information Technology"
Junior Data Scientist,-1,"FocusKPI is looking for a Junior Data Scientist to work for our company's internal projects.
Work Location: Remote in the U.S.
Responsibilities:
Work in an agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Build business intelligence dashboards for internal leaders and stakeholders to track key performance indicators
Assist Senior Strategy Analysts and Senior Data Scientists in project management of strategic initiatives

Show More
Report",4.1,"FocusKPI Inc.
3.3","Boston, MA",-1,"Size
51 to 200 Employees",-1,"Type
Company - Private","Industry
Advertising & Public Relations","Sector
Media & Communication","Revenue
Less than $1 million (USD)"
E-commerce Data Scientist,-1,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

We are looking for Data Scientists to join our Global e-commerce Data Science team. The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users.


Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at allen.chen@tiktok.com
Job Information
The base salary range for this position in the selected city is $136000 - $332000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



At ByteDance/TikTok our benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, 80% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.
Show More
Report",4.1,"TikTok
3.6","Mountain View, CA",-1,"Size
1001 to 5000 Employees",-1,"Founded
2016","Type
Company - Private","Industry
Internet & Web Services","Sector
Information Technology"
Data Scientist,-1,"Koverse is looking for a Data Scientist who will be part of a world-class team working to help customers realize the promise of big data.. This role, preferably (but not required) is based in the Washington, D.C.-Baltimore metro region, Seattle or Denver metro regions. Flexibility to travel occasionally (but not too frequently) to customer sites or Koverse locations, both domestically and internationally, is required.

This position will have to be clearable – meaning you should be able to and are willing to obtain a government clearance if you do not already have a government clearance

As a Data Scientist you will:
Show More
Report",4.1,"Koverse
4.8","Denver, CO",-1,"Size
1 to 50 Employees",-1,"Founded
2012","Type
Company - Private","Industry
Enterprise Software & Network Solutions","Sector
Information Technology"
Data Scientist,-1,"Progyny is looking for a Data Scientist to join the Business Strategy and Analytics team in New York City. Our team is at the forefront of key initiatives and strategic development of the nation’s leading fertility benefits management company. In this role, you will lead these efforts through finding insights into potential revenue growth, process enhancements, and benefit enhancements through analyses, cross-functional collaboration, and presentations to various internal stakeholders, including executive leadership. This is a unique opportunity to own multiple functions within Progyny to support the company’s strategic development and growth.
What you'll do...
Develop complex algorithms, statistical models, determine analytical approaches and modeling techniques to evaluate historical trends and predictive models
Lead identifying market trends and member needs to build a short, medium, and long-term growth strategy





Show More
Report",4.1,"Progyny
4.5","New York, NY",-1,-1,"Founded
2015",-1,-1,-1,-1
Lead Data Scientist,-1,"Hi,
Role: Lead Data Scientist
Location: Albany, NY (On-site)
Duration: 3 Months(Possible extension beyond May 31 st )
Note: Candidate should have Audit, Tax and Advisory services Domain Experience as mandatory
Job Description:
Manage team of about 3 data scientists/engineers that will perform NLP web scraping, analysis of sentiment and other website data, combined with structured data to risk score potential credit card merchants.
Show More
Report",4.1,"Qcentrio
5.0","Albany, NY",-1,"Size
51 to 200 Employees",-1,"Type
Company - Public","Revenue
Unknown / Non-Applicable",-1,-1
Data Scientist,-1,"Snapshot:
Synchronoss Technologies (Nasdaq: SNCR) builds software that empowers companies around the world to connect with their subscribers in trusted and meaningful ways. The company’s collection of products helps streamline networks, simplify onboarding, and engage subscribers to unleash new revenue streams, reduce costs and increase speed to market. Hundreds of millions of subscribers trust Synchronoss products to stay in sync with the people, services, and content they love. That’s why more than 1,500 talented Synchronoss employees worldwide strive each day to reimagine a world in sync.

We are looking for a Data Scientist whom will contribute to our overall success by developing, managing, and improving our predictive models, products, and analytics solutions.
How you will help::
Collaborate with a cross-functional team of data scientists, data engineers and product managers to develop and deliver advanced analytics solutions
Who we have in mind::

It would be great if you had::
What we offer::
Show More
Report",4.1,"Synchronoss Technologies
4.0",Remote,-1,-1,"Founded
2000",-1,-1,-1,-1
Data Scientist,-1,"Looking for a Data Scientist
What you will be doing as a Data Scientist
· Responsible for gathering and assessing business information needs and preparing system requirements
· Performs analyses, development, and evaluation of data mining in a data warehouse environment which includes data design, database architecture, Meta data and repository creation.
· Uses data mining and data analysis tools. Reviews and validates data loaded into the data warehouse for accuracy


Show More
Report",4.1,"GTA (Global Technology Associates)
4.4","Reston, VA",-1,"Size
Unknown",-1,"Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1
Embedded BI Data Scientist SIBU510,-1,"About Sibylline
Sibylline is a leading intelligence and strategic risk consultancy in the security sector. Since 2010 we have supported businesses, governments and NGOs through the provision of high-quality risk analysis, due diligence and consultancy services. The firm provides an innovative, entrepreneurial and fast-growing working environment, offering employees ever greater exposure to high profile clients and challenges. Sibylline offers fantastic opportunities for career progression within a successful company, and we aim to help our employees to build their own personal profiles as well-regarded analysts within the broader industry.
Key attributes of Sibylline employees are:
Self-motivated, and auto-improving individuals who can couple initiative and boldness with good judgement
Show More
Report",4.1,"Sibylline
4.3",Remote,-1,"Size
51 to 200 Employees",-1,"Founded
2010","Type
Company - Private","Industry
Security & Protective","Sector
Management & Consulting"
