Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"MUST HAVE: SAS, R, FINANCIAL SERVICES, RISK MODELING, K-MEANS CLUSTING, JUMP SEARCH/JUMP ANALYSIS Data Scientist for Compliance Systems Division primarily responsible for aggregating and analyzing data to create actionable insights to drive the results. Uses advanced statistical techniques to provide deeper understanding of data behavior and actions and collaborates with business partners to recommend improvements across the application. Identify opportunities to leverage statistical solutions to solve problems. Responsibilities: • Ability to run turn-key analytics from data acquisition, preparation, analysis and reporting • Work with business users to understand the requirements and like to understand from their data • Analyze what potential data is required for dashboards, modeling, statistical analysis and data mining • Work with ETL experts to Transform and Prepare the data for Analysis • Analyze compliance data to drive business satisfaction • Create Visualizations and report to articulate technical results. • Assist in development of automating predictive modeling for surveillance. • Design, Analyze, validate and manage data requirements and deliverables for projects. • Act as a liaison between technical development and business users and provide solution. • Work closely with application teams and communicate effectively and proactively Key Skills: • Ability to independently manage, organize and prioritize multiple tasks and responsibilities. • Very Strong in at least one statistical software package, preferably R • Advanced skills in a scripting language such as Python, R, or Java • Experience with SAS, SAS Enterprise Miner and other Statistical Software Packages • Knowledge of statistical, open source and/or enterprise level ETL and Analytics tools • Proficient in data Classification, Clustering • Good Understanding of data and mathematical techniques • Strong organizational, analytical and design skills. • Excellent oral and written communication skills. • Strong SQL skills across various databases: ORACLE, SQL Server, DB2 • Experience with performance tuning and analysis Other Skills (Nice to Have): • Experience in working on an analytical tool like Spotfire, QlikView, Tableau etc Qualifications: • 5-7 years of experience working with real data • Proven experience in data acquisition, data preparation, analysis • Demonstrated experience with dashboards, modeling, statistical analysis and data mining • A self-starter and team player that is assertive, independent and can manage multiple responsibilities • Solid analytical skills with ability to start at a high level, working down to the detail. • Advanced problem solving abilities • Experience working with Global team.
Show More
Report",-1,"Intone Networks
4.6",Remote,-1,-1,"Type
Company - Private",-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$100K - $110K,"Design and develop data solutions and business intelligence
Proactively ensures minimum delays in systems deliverables
Configure and maintain multi data source connections in Tableau across a variety of data sources including, but not limited to, SQL, Oracle, Hadoop, Tableau Server, BOX
Knowledge to successfully implement the appropriate method of Row Level Security (RLS) to restrict access to data only those that have a need to know, based upon State Street's policy.
Ensure clear and concise expression of design decisions to development, business teams, and senior IT management;
Provide subject matter expertise on analysis and visual representations to foster analytical insights;
Show More
Report",-1,ProIT Inc.,"Cambridge, MA",-1,"Size
51 to 200 Employees",-1,"Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1
Data Science Developer,-1,"Summary
Join a software development team working in an Agile framework. Developing python-based large-scale optimization models and integrating them with automated data sets and user interfaces. Will need to be able to estimate effort to deliver features that meet Customer acceptance criteria. Work with Product Owners and Business Stakeholders to translate Customer needs into application features. Provide technical and operational support for applications built. Collaborate with data scientists, data engineers, and other developers in the organization.
Requirements:
- 3-5 years' experience
- Experience with: Machine learning AI, mathematical optimization linear/nonlinear integer programming, developer in python
- Analytical abilities
- Experience working on analytical projects
Show More
Report",-1,4Sphere Software Solutions,Remote,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,"Size
10000+ Employees",,"Founded
1983","Type
Company - Public","Industry
Software Development","Sector
Information Technology"
-1,$88K - $126K (Glassdoor est.),-1,-1,-1,-1,"San Francisco, CA","Size
1 to 50 Employees",,"Founded
2014","Type
Company - Private","Industry
Gambling","Sector
Arts, Entertainment & Recreation"
"Data Scientist, Rapid Response",$98K - $148K (Glassdoor est.),"Gro Intelligence is tackling two of the biggest problems facing the world today: food security and climate change. We understand and quantify the complex interplay between food, weather, trade, agriculture, and macroeconomic conditions in a world upended by climate change, a growing population, and more. The team at Gro has built a platform that allows businesses, non-profits, and governments to better plan for and adapt to these changes. With offices in Nairobi, New York, and Singapore Gro has the financial backing of prominent investors such as TPG Growth, Intel Capital, Data Collective, and GGV. Gro is a diverse, intellectually curious team of technologists, scientists, and business professionals united by a shared commitment to build AI that addresses agriculture, food, and our climate on the most fundamental level.
The Rapid Response team works to build urgent requests for our internal and external users: building and productionizing models with resourcefulness and creativity.
What You'll Do

Show More
Report",-1,"Gro Intelligence
3.9","New York, NY","New York, NY","Size
1 to 50 Employees",,"Founded
2014","Type
Company - Private","Industry
Internet & Web Services","Sector
Information Technology"
-1,$82K - $121K (Glassdoor est.),-1,-1,-1,-1,"Cambridge, MA","Size
51 to 200 Employees",,"Founded
2014","Type
Company - Private","Industry
Aerospace & Defense","Sector
Aerospace & Defense"
Data Scientist,$84K - $133K (Glassdoor est.),"Entry & Mid Level Data Scientists encouraged to apply!

Elutions is a global Enterprise AI & Automation company, empowering clients to drive continuous efficiency, cost and quality improvements. As the top leader in our industry, world-wide, we are constantly on the lookout for go-getters, people who aren't afraid to work hard, but have fun at the same time. Those who join our team aren't just bright, but are willing to develop and hone their skills every day, all while making a significant difference in the world.

Remote work available with a preference for relocation to either our Delafield, Wisconsin or Tampa, Florida offices, relocation assistance available.







Show More
Report",-1,"Elutions
3.9","Boston, MA","Boston, MA","Size
1 to 50 Employees",,"Founded
1994","Type
Company - Private","Industry
Computer Hardware Development","Sector
Information Technology"
-1,-1,-1,-1,-1,-1,-1,-1,"Founded
1983",-1,-1,-1,-1
Strategy & Transformation Data Scientist II,Employer Provided Salary:$80K - $150K,"PURPOSE:
The Data Scientist II is responsible for using data and advanced analytics to improve business outcomes. This role will be responsible for developing, testing, and implementing statistical and machine learning models for predictive analytics, and taking an iterative approach to improving results. This role has a solid understanding of predictive modeling and machine learning techniques, model development, model/ml-ops and governance, possess a strong background of using analytics to solve business problems, with excellent written and verbal communications skills.

ESSENTIAL FUNCTIONS:
Job Responsibilities:

Problem Formation












Show More
Report",-1,"UNFI
3.2",United States,-1,"Size
10000+ Employees",-1,"Founded
1978","Type
Company - Public","Industry
Wholesale","Sector
Retail & Wholesale"
